124.017778	1348.847166	14. Payday
1348.847166	4453.262222	15. The Decoy
4453.262222	6283.000000	16. Cocoons
6283.000000	8577.000000	17. A Bloody Red Sunset
8577.000000	11346.000000	18. Highprince of War
11346.000000	13313.000000	19. Starfalls
13313.000000	13546.312562	20. Scarlet
13546.312562	14935.574059	21. Why Men Lie
14935.574059	16682.736327	22. Eyes
16682.736327	18375.993469	23. Many Uses
18375.993469	19472.000000	24. The Gallery of Maps
19472.000000	20475.054150	25. The Butcher
20475.054150	22681.000000	26. Stillness
22681.000000	25665.108753	27. Chasm Duty
